QueryId,DocumentId
1,18
1,7
1,10
1,39
1,9
1,13
1,15
1,31
1,25
1,35
1,45
1,29
1,4
1,14
1,2
1,36
1,6
1,44
1,42
1,5
1,11
1,17
1,20
1,24
1,22
1,19
1,26
1,30
1,16
1,3
1,12
1,34
1,8
1,38
1,41
1,43
1,21
1,40
1,23
1,32
1,33
1,1
1,28
1,27
1,37
2,81
2,65
2,69
2,85
2,89
2,79
2,80
2,60
2,53
2,83
2,68
2,84
2,86
2,88
2,66
2,52
2,76
2,70
2,46
2,78
2,51
2,67
2,58
2,63
2,73
2,55
2,64
2,56
2,49
2,48
2,54
2,71
2,72
2,74
2,75
2,61
2,90
2,57
2,62
2,87
2,77
2,59
2,50
2,82
2,47
3,98
3,125
3,119
3,114
3,104
3,124
3,110
3,93
3,115
3,112
3,128
3,126
3,135
3,106
3,100
3,132
3,127
3,108
3,105
3,96
3,116
3,103
3,123
3,134
3,111
3,99
3,136
3,121
3,137
3,107
3,102
3,131
3,122
3,101
3,94
3,118
3,117
3,129
3,91
3,109
3,95
3,138
3,97
3,113
3,120
3,133
3,130
3,92
4,157
4,178
4,173
4,169
4,166
4,175
4,180
4,145
4,177
4,161
4,143
4,144
4,158
4,176
4,172
4,142
4,165
4,181
4,171
4,152
4,164
4,151
4,185
4,148
4,167
4,182
4,174
4,154
4,153
4,141
4,139
4,183
4,184
4,140
4,155
4,179
4,159
4,146
4,168
4,150
4,162
4,170
4,149
4,147
4,160
4,156
4,163
5,189
5,201
5,212
5,226
5,198
5,233
5,194
5,210
5,203
5,200
5,219
5,230
5,196
5,213
5,206
5,215
5,192
5,208
5,229
5,188
5,221
5,204
5,207
5,199
5,216
5,193
5,228
5,227
5,231
5,197
5,209
5,224
5,190
5,191
5,214
5,187
5,217
5,195
5,218
5,186
5,220
5,205
5,222
5,211
5,202
5,225
5,223
5,232
6,244
6,254
6,269
6,262
6,271
6,265
6,255
6,279
6,266
6,250
6,247
6,234
6,274
6,241
6,281
6,239
6,260
6,246
6,240
6,248
6,236
6,259
6,261
6,257
6,252
6,273
6,280
6,238
6,275
6,253
6,242
6,249
6,245
6,258
6,277
6,264
6,256
6,268
6,237
6,270
6,243
6,235
6,267
6,263
6,276
6,251
6,278
6,272
7,311
7,293
7,321
7,323
7,310
7,282
7,302
7,312
7,303
7,305
7,322
7,283
7,297
7,287
7,284
7,317
7,320
7,319
7,296
7,299
7,324
7,325
7,295
7,290
7,309
7,304
7,316
7,288
7,301
7,298
7,286
7,315
7,291
7,308
7,314
7,313
7,318
7,300
7,307
7,285
7,292
7,306
7,294
7,289
8,364
8,331
8,366
8,347
8,327
8,369
8,357
8,344
8,343
8,356
8,339
8,353
8,349
8,345
8,370
8,351
8,375
8,338
8,326
8,329
8,373
8,361
8,367
8,362
8,337
8,346
8,332
8,374
8,365
8,354
8,350
8,348
8,334
8,371
8,352
8,355
8,368
8,340
8,333
8,336
8,341
8,363
8,372
8,359
8,360
8,335
8,358
8,328
8,330
8,342
9,405
9,398
9,406
9,394
9,381
9,390
9,412
9,393
9,402
9,415
9,400
9,403
9,418
9,413
9,416
9,421
9,385
9,422
9,389
9,380
9,423
9,383
9,396
9,397
9,387
9,376
9,377
9,388
9,410
9,384
9,399
9,379
9,401
9,386
9,378
9,391
9,419
9,417
9,409
9,414
9,395
9,411
9,407
9,420
9,404
9,382
9,392
9,408
10,454
10,432
10,451
10,450
10,437
10,426
10,429
10,467
10,462
10,438
10,455
10,452
10,456
10,471
10,434
10,443
10,447
10,441
10,430
10,466
10,461
10,439
10,435
10,446
10,468
10,444
10,458
10,448
10,442
10,449
10,431
10,425
10,470
10,440
10,433
10,424
10,472
10,445
10,469
10,453
10,459
10,427
10,463
10,460
10,465
10,464
10,473
10,436
10,428
10,457
11,482
11,479
11,512
11,520
11,489
11,477
11,507
11,481
11,496
11,474
11,497
11,504
11,503
11,511
11,514
11,513
11,480
11,502
11,508
11,494
11,518
11,488
11,510
11,516
11,509
11,493
11,491
11,476
11,486
11,485
11,483
11,500
11,484
11,495
11,501
11,487
11,490
11,478
11,498
11,475
11,517
11,515
11,499
11,519
11,505
11,506
11,492
12,538
12,533
12,547
12,523
12,549
12,548
12,539
12,560
12,542
12,526
12,563
12,540
12,552
12,522
12,543
12,534
12,558
12,566
12,554
12,553
12,546
12,556
12,537
12,557
12,545
12,565
12,544
12,555
12,564
12,562
12,524
12,550
12,541
12,559
12,535
12,527
12,536
12,525
12,551
12,531
12,530
12,567
12,528
12,532
12,561
12,521
12,529
13,610
13,595
13,572
13,579
13,573
13,609
13,591
13,588
13,584
13,570
13,603
13,580
13,583
13,574
13,575
13,577
13,581
13,606
13,597
13,602
13,607
13,605
13,582
13,593
13,592
13,596
13,586
13,599
13,589
13,576
13,611
13,594
13,598
13,590
13,608
13,578
13,616
13,568
13,604
13,601
13,600
13,585
13,613
13,615
13,571
13,569
13,612
13,614
13,587
14,646
14,623
14,632
14,629
14,631
14,645
14,653
14,647
14,652
14,626
14,655
14,625
14,648
14,641
14,624
14,644
14,633
14,622
14,635
14,640
14,658
14,637
14,662
14,661
14,660
14,638
14,643
14,659
14,654
14,649
14,650
14,656
14,628
14,621
14,642
14,618
14,620
14,630
14,651
14,636
14,627
14,619
14,657
14,634
14,639
14,617
15,663
15,686
15,671
15,675
15,678
15,692
15,700
15,683
15,674
15,698
15,708
15,677
15,709
15,666
15,693
15,699
15,689
15,690
15,685
15,668
15,702
15,665
15,672
15,684
15,711
15,670
15,703
15,697
15,673
15,669
15,679
15,704
15,687
15,710
15,676
15,705
15,664
15,695
15,667
15,680
15,701
15,688
15,707
15,694
15,681
15,706
15,691
15,696
15,682
16,727
16,717
16,714
16,716
16,731
16,724
16,756
16,742
16,719
16,758
16,738
16,734
16,723
16,753
16,739
16,732
16,755
16,730
16,740
16,744
16,748
16,735
16,715
16,743
16,745
16,746
16,754
16,722
16,733
16,747
16,728
16,718
16,726
16,751
16,741
16,721
16,737
16,712
16,752
16,725
16,713
16,720
16,750
16,729
16,757
16,736
16,749
17,765
17,789
17,786
17,764
17,795
17,788
17,766
17,782
17,787
17,800
17,768
17,761
17,797
17,774
17,772
17,798
17,792
17,785
17,796
17,780
17,769
17,791
17,803
17,763
17,762
17,775
17,794
17,770
17,773
17,802
17,793
17,779
17,767
17,778
17,799
17,771
17,777
17,776
17,790
17,784
17,783
17,781
17,760
17,759
17,801
18,851
18,830
18,828
18,826
18,818
18,817
18,832
18,840
18,842
18,827
18,819
18,837
18,850
18,853
18,833
18,849
18,811
18,845
18,852
18,823
18,816
18,805
18,843
18,810
18,808
18,839
18,829
18,824
18,820
18,807
18,841
18,822
18,813
18,821
18,835
18,844
18,838
18,846
18,825
18,809
18,836
18,814
18,848
18,804
18,812
18,806
18,847
18,831
18,834
18,815
19,863
19,881
19,896
19,865
19,879
19,895
19,883
19,858
19,880
19,887
19,891
19,870
19,899
19,867
19,889
19,864
19,877
19,882
19,859
19,892
19,894
19,875
19,874
19,869
19,898
19,902
19,897
19,890
19,861
19,860
19,878
19,893
19,855
19,866
19,884
19,885
19,871
19,886
19,857
19,901
19,900
19,873
19,876
19,856
19,868
19,862
19,854
19,872
19,888
20,936
20,930
20,910
20,913
20,943
20,941
20,942
20,920
20,906
20,932
20,912
